ID,Prioridade,Score PFC,Semáforo,Empresa/Grupo,Instituto/Fundação/Programa,Setor,Subsetor,Tipo de oportunidade,Modalidade de apoio,Valor mín. estimado,Valor máx. estimado,Valor alvo PFC,Status,Chance (%),Presença em municípios PFC,Municípios/Região estratégica,Cidade-sede/Unidade estratégica,UF,Público-alvo,Encaixe com PFC,Proposta PFC recomendada,Próxima ação,Responsável,Edital/Programa,Janela provável,Fonte/URL,Contato sugerido,E-mail/Canal,LinkedIn/Instagram,Observações,Chave de ranking (auxiliar - não excluir),Fonte verificada
1,A+,92,🟢,Instituto 3M,Instituto 3M,Indústria/Tecnologia,Ciência/STEM,Patrocínio institucional,Financeiro + mentoria,100000,250000,175000,Monitorar,87,Sim,Sumaré/Campinas/Sorocaba,Sumaré,SP,Estudantes escola pública,"Ciência, STEM, inovação, feiras e iniciação científica","Cota Ciência Jovem: laboratórios itinerantes, clubes de ciência e ERFC",Mapear área de investimento social e enviar one-page PFC,Fábio,Programa de educação/cidadania científica,Anual/monitorar,https://www.3m.com.br/,Instituto/ESG,Site institucional,LinkedIn 3M Brasil,Alta sinergia com ciência aplicada.,92087999,Verificada
2,A+,95,🟢,John Deere,Instituto John Deere,Agronegócio/Indústria,Educação/juventude,Parceria corporativa,Financeiro + voluntariado,100000,300000,200000,Prospectar,90,Sim,Indaiatuba/Catalão e cadeia agro,Indaiatuba,SP,Jovens e escolas públicas,"Educação, projeto de vida, tecnologia e permanência escolar",Adotar escolas PFC em municípios agrícolas e criar trilha STEM rural,Usar case já reconhecido pelo Instituto John Deere como porta de entrada,Fábio,Investimento social privado,Contínuo,https://www.deere.com.br/pt/nossa-empresa/responsabilidade-social/,Instituto/ESG,Site institucional,LinkedIn John Deere,Prioridade máxima pela proximidade histórica.,95090998,Verificada
3,A+,90,🟢,Fundação Telefônica Vivo,Fundação Telefônica Vivo,Telecom/Tecnologia,Educação digital,Parceria de conteúdo,Cursos + formação + financeiro,50000,200000,125000,Prospectar,85,Sim,Atuação nacional; Sorocaba e SP,São Paulo,SP,Educadores e estudantes,"Competências digitais, tecnologia educacional e formação docente","PFC Digital: plataforma de formação, mentoria e trilhas de tecnologia",Enviar proposta PFC Digital e solicitar reunião com educação pública,Fábio,Escolas Conectadas/Pense Grande Tech,Contínuo,https://www.fundacaotelefonicavivo.org.br/,Fundação,Site institucional,LinkedIn Fundação Telefônica Vivo,Fonte confirma atuação em educação pública e competências digitais.,90085997,Verificada
4,A+,88,🟢,Instituto Coca-Cola Brasil,Instituto Coca-Cola Brasil,Bebidas,Juventude/empregabilidade,Parceria programática,Cursos + empregabilidade + financeiro,50000,200000,125000,Prospectar,83,Sim,Sorocaba/Região Metropolitana SP,Rio de Janeiro/São Paulo,RJ/SP,Jovens 16-25,"Projeto de vida, primeiro emprego, competências socioemocionais",Integrar Coletivo Jovem ao PFC Ensino Médio e egressos,Propor piloto com turmas do PFC e certificação,Fábio,Coletivo Coca-Cola Jovem,Contínuo,https://www.coca-cola.com/br/pt/offerings/instituto-coca-cola-brasil/coletivo-online,Instituto/Programa,Site institucional,LinkedIn Coca-Cola Brasil,Fonte indica curso gratuito para mercado de trabalho.,88083996,Verificada
5,A+,86,🟢,Instituto CPFL,Instituto CPFL,Energia,Educação/cultura,Patrocínio/edital,Financeiro + eventos,50000,200000,125000,Prospectar,81,Sim,Campinas/Sorocaba/Tatuí/Rio Claro,Campinas,SP,Comunidade escolar,"Educação, cultura científica e cidadania","Cota Energia do Futuro: olimpíadas, feira científica e mentoria",Mapear editais e unidade regional CPFL,Fábio,Chamadas de investimento social,Anual/monitorar,https://www.institutocpfl.org.br/,Instituto,Site institucional,LinkedIn CPFL Energia,Forte aderência regional.,86081995,Verificada
6,A+,85,🟢,Instituto CCR,Instituto CCR,Infraestrutura/concessões,Educação/cidadania,Edital/patrocínio,Financeiro + logística,50000,250000,150000,Prospectar,80,Sim,Interior SP; rodovias próximas ao PFC,São Paulo,SP,Crianças e jovens,"Educação, segurança, cidadania, mobilidade social","PFC Rotas do Futuro: projeto de vida, ciência e cidadania",Enviar proposta territorial com municípios atendidos por concessões,Fábio,Editais Instituto CCR,Anual/monitorar,https://www.institutoccr.com.br/,Instituto,Site institucional,LinkedIn Grupo CCR,Bom para expansão regional.,85080994,Verificada
7,A+,84,🟢,Instituto Embraer,Instituto Embraer,Aeroespacial,Educação/STEM,Parceria educacional,Mentoria + bolsas + financeiro,50000,200000,125000,Prospectar,79,Não direta,São José dos Campos/Botucatu,São José dos Campos,SP,Jovens talentos,"STEM, engenharia, ciência e acesso à universidade",Trilha Futuros Engenheiros e Cientistas PFC,Propor mentoria com engenheiros e visita técnica,Fábio,Educação STEM,Contínuo,https://institutoembraer.org.br/,Instituto,Site institucional,LinkedIn Embraer,Aderência alta com ciência e universidade.,84079993,Verificada
8,A+,83,🟢,Fundação Itaú,Fundação Itaú,Financeiro,Educação pública,Edital/parceria,Financeiro + conhecimento,100000,500000,300000,Monitorar,78,Sim,Atuação nacional/SP,São Paulo,SP,Educação básica pública,"Educação integral, gestão, equidade e trajetórias",PFC como tecnologia social de permanência escolar e acesso à universidade,Monitorar editais e construir nota conceitual robusta,Fábio,Editais/coalizões educação,Anual/monitorar,https://www.fundacaoitau.org.br/,Fundação,Site institucional,LinkedIn Fundação Itaú,Necessita proposta muito técnica.,83078992,Verificada
9,A+,82,🟢,Instituto Unibanco,Instituto Unibanco,Financeiro,Ensino médio público,Parceria técnica,Conhecimento + eventual financiamento,50000,250000,150000,Monitorar,77,Sim,Atuação nacional/SP,São Paulo,SP,Ensino Médio,"Permanência, aprendizagem e gestão escolar",PFC Ensino Médio: redução de evasão e projeto de vida,Solicitar diálogo técnico e evidências de impacto,Fábio,Educação pública,Contínuo,https://www.institutounibanco.org.br/,Instituto,Site institucional,LinkedIn Instituto Unibanco,Excelente para evidências e indicadores.,82077991,Verificada
10,A+,81,🟢,Instituto Neoenergia,Instituto Neoenergia,Energia,Educação/social,Edital/patrocínio,Financeiro + voluntariado,50000,200000,125000,Monitorar,76,Possível,SP/áreas de concessão,Rio de Janeiro,RJ,Crianças e jovens,"Educação, inclusão e desenvolvimento local","PFC Energia do Saber: ciência, sustentabilidade e projeto de vida",Monitorar chamadas e mapear unidade regional,Fábio,Investimento social privado,Anual/monitorar,https://www.neoenergia.com/web/brasil/instituto-neoenergia,Instituto,Site institucional,LinkedIn Neoenergia,Aderência média-alta.,81076990,Verificada
